Entity,Code,Year,Deaths - Malaria - Sex: Both - Age: Under 5 (Number),Deaths - HIV/AIDS - Sex: Both - Age: Under 5 (Number),Deaths - Meningitis - Sex: Both - Age: Under 5 (Number),Deaths - Nutritional deficiencies - Sex: Both - Age: Under 5 (Number),Deaths - Other neonatal disorders - Sex: Both - Age: Under 5 (Number),Deaths - Whooping cough - Sex: Both - Age: Under 5 (Number),Deaths - Lower respiratory infections - Sex: Both - Age: Under 5 (Number),Deaths - Congenital birth defects - Sex: Both - Age: Under 5 (Number),Deaths - Measles - Sex: Both - Age: Under 5 (Number),Deaths - Neonatal sepsis and other neonatal infections - Sex: Both - Age: Under 5 (Number),Deaths - Neonatal encephalopathy due to birth asphyxia and trauma - Sex: Both - Age: Under 5 (Number),Deaths - Drowning - Sex: Both - Age: Under 5 (Number),Deaths - Tuberculosis - Sex: Both - Age: Under 5 (Number),Deaths - Neonatal preterm birth - Sex: Both - Age: Under 5 (Number),Deaths - Diarrheal diseases - Sex: Both - Age: Under 5 (Number),Deaths - Neoplasms - Sex: Both - Age: Under 5 (Number),Deaths - Syphilis - Sex: Both - Age: Under 5 (Number),Deaths - All causes - Sex: Both - Age: 7-27 days (Number),Deaths - All causes - Sex: Both - Age: 1-4 years (Number),Deaths - All causes - Sex: Both - Age: 0-6 days (Number),Deaths - All causes - Sex: Both - Age: 28-364 days (Number),"Mortality rate, under-5, female (per 1,000 live births)","Mortality rate, under-5, male (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)",$1.90 per day - share of population below poverty line,"Current health expenditure per capita, PPP (current international $)",Population (historical estimates),Access to electricity (% of population) [EG.ELC.ACCS.ZS],Adjusted net national income (annual % growth) [NY.ADJ.NNTY.KD.ZG],Adjusted net national income (current US$) [NY.ADJ.NNTY.CD],Adjusted net national income per capita (annual % growth) [NY.ADJ.NNTY.PC.KD.ZG],Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD],"Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]","Government expenditure on education, total (% of government expenditure) [SE.XPD.TOTL.GB.ZS]",Poverty gap at $1.90 a day (2011 PPP) (%) [SI.POV.GAPS],Poverty gap at $3.20 a day (2011 PPP) (%) [SI.POV.LMIC.GP],Poverty gap at $5.50 a day (2011 PPP) (%) [SI.POV.UMIC.GP]
Afghanistan,AFG,1990,21,10,1709,1779,7112,2455,20224,12850,8649,420,1599,776,808,6088,3968,431,123,9869,21812,15560,30929,17.38999939,18.25,17.83999939,,,12412311,,,,,,15.241,,,,
Afghanistan,AFG,1991,41,12,1743,1822,7574,2385,20879,13701,8669,520,1804,748,800,6791,4650,439,132,10963,21565,17665,32841,16.78000031,17.63000031,17.21999969,,,13299016,,,,,,14.783,,,,
Afghanistan,AFG,1992,51,13,1954,2069,8614,2370,23585,15812,8539,662,2160,777,863,8098,5833,486,180,12905,21929,21124,37901,16.18999939,17.05,16.63000031,,,14485543,,,,,,14.362,,,,
Afghanistan,AFG,1993,24,16,2252,2427,9458,2659,27116,17855,8949,723,2414,872,979,9142,7800,549,239,14399,24292,23522,44325,15.61999969,16.5,16.06999969,,,15816601,,,,,,13.974,,,,
Afghanistan,AFG,1994,52,19,2446,2649,9823,3187,29271,18835,10642,736,2519,961,1064,9575,7894,589,259,15015,28068,24633,47618,15.1,15.98000031,15.55,,,17075728,,,,,,13.616,,,,
Afghanistan,AFG,1995,44,22,2501,2681,9989,3867,29826,19118,12121,767,2579,1004,1095,9735,9194,605,272,15363,30231,25270,49222,14.6,15.48999939,15.06000061,,,18110662,,,,,,13.282,,,,
Afghanistan,AFG,1996,46,24,2568,2707,10166,4336,30468,19498,12625,794,2621,1050,1135,9856,9338,624,285,15556,31504,25774,49904,14.11999969,15.03999939,14.6,,,18853444,,,,,,12.964,,,,
Afghanistan,AFG,1997,65,26,2652,2759,10381,4116,31109,19887,12208,809,2631,1109,1173,9871,10294,649,294,15667,33179,26098,50761,13.68000031,14.6,14.15,,,19357126,,,,,,12.655,,,,
Afghanistan,AFG,1998,155,28,2620,2694,10391,4412,30418,19587,12504,792,2564,1109,1150,9595,10786,640,296,15395,35618,25762,50829,13.26999969,14.16999969,13.73000031,,,19737770,,,,,,12.348,,,,
Afghanistan,AFG,1999,128,29,2532,2605,10301,4364,29143,18940,13151,770,2468,1085,1104,9198,10942,617,282,14782,33463,24878,49071,12.86000061,13.76000061,13.31999969,,,20170847,,,,,,12.037,,,,
Afghanistan,AFG,2000,71,30,2423,2526,10269,4154,27775,18341,13818,774,2391,1036,1048,8845,10960,595,268,14423,33069,24451,47666,12.45999985,13.35,12.91999969,,,20779957,1.613590956,,,,,11.718,,,,
Afghanistan,AFG,2001,54,30,2354,2426,10557,3962,26875,18310,13944,826,2410,988,1000,8828,11073,585,258,14408,31893,24866,47102,12.08000031,12.93999939,12.51999969,,,21606992,4.074573994,,,,,11.387,,,,
Afghanistan,AFG,2002,740,31,2277,2268,11001,3820,25629,18426,13266,890,2467,906,919,8945,11045,571,267,14676,29794,25720,47126,11.69000015,12.5,12.10999985,,81.27103424,22600774,9.409157753,,,,,11.048,,,,
Afghanistan,AFG,2003,589,32,2534,2478,11526,4241,27408,19783,4295,919,2499,1078,1006,9001,12009,680,283,14114,27463,25591,46204,11.26999969,12.08000031,11.69000015,,82.4578476,23680871,14.73850632,,,,,10.704,,,,
Afghanistan,AFG,2004,209,33,2557,2467,11800,4095,27168,20068,1735,936,2483,1117,992,8884,11925,714,280,13742,26123,25515,45106,10.85,11.65999985,11.25999985,,89.47005463,24726689,20.06496811,,,,,10.356,,,,
Afghanistan,AFG,2005,143,34,2445,2332,11958,4274,25854,19803,1686,942,2442,1052,919,8722,11211,701,286,13335,25044,25367,43768,10.44000015,11.23000031,10.84000015,,100.7069855,25654274,25.39089394,,,,,10.003,15.07999992,,,
Afghanistan,AFG,2006,106,36,2315,2201,11898,4120,24408,19254,2158,921,2355,993,847,8422,10047,679,280,12693,24162,24812,41967,10.00999985,10.8,10.40999985,,113.7541046,26433058,30.71869087,,,,,9.645,12.88000011,,,
Afghanistan,AFG,2007,96,37,2159,1996,11845,4085,22718,18659,2608,930,2305,911,766,8202,9021,653,272,12155,22973,24485,39903,9.590000153,10.35999985,9.990000153,,107.1770401,27100542,36.05101013,,,,,9.287,12.35999966,,,
